Marca,Modello,Anno,Serie,Carrozzeria,Posti,Lunghezza,Larghezza,Altezza,Passo,Peso a vuoto,Altezza da terra,Volume bagagliaio,Massa totale,Alimentazione,Cilindrata,Cavalli,Cilindri,Diametro cilindro,Corsa pistone,Cambio,Trazione,Velocità massima,Consumo città,Consumo extraurbano,Consumo misto,Accelerazione a 100 km/h,Volume serbatoio
Alfa Romeo,147,2000,GTA hatchback 3-porte,Berlina,5,4213,1764,1412,2546,1360,140,1030,1880,Benzina,3179,250,6,,,Manuale,Anteriore,246,"18,1","8,6","12,1","6,3",63
Alfa Romeo,147,2000,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1190,120,1030,1710,Benzina,1598,105,4,82,"75,7",Manuale,Anteriore,185,"11,1","6,3","8,1","11,3",60
Alfa Romeo,147,2000,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1200,120,1030,1720,Benzina,1598,120,4,82,"75,7",Manuale,Anteriore,195,"11,2","6,4","8,2","10,6",60
Alfa Romeo,147,2000,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1345,120,1030,1790,Diesel,1910,100,4,82,"90,4",Manuale,Anteriore,191,"7,8","4,7","5,8","9,9",60
Alfa Romeo,147,2000,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1250,120,1030,,Diesel,1910,110,4,,,Manuale,Anteriore,190,"7,8","4,9",,"10,5",63
Alfa Romeo,147,2000,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1270,120,1030,1790,Diesel,1910,115,4,82,90,Manuale,Anteriore,191,"7,8","4,7","5,8","9,9",60
Alfa Romeo,147,2000,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1275,120,1030,1795,Diesel,1910,140,4,82,90,Manuale,Anteriore,206,8,"4,7","5,9","9,1",60
Alfa Romeo,147,2000,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1250,120,1030,1770,Benzina,1970,150,4,,,Manuale,Anteriore,208,"12,1",7,"8,9","9,3",60
Alfa Romeo,147,2004,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1200,120,,1720,Benzina,1598,120,4,,,Manuale,Anteriore,195,"11,2","6,4","8,3","10,6",60
Alfa Romeo,147,2004,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1250,120,1030,1770,Benzina,1970,150,4,,,Manuale,Anteriore,208,"12,1",7,"8,9","9,3",60
Alfa Romeo,147,2004,Hatchback 3-porte,Berlina,5,4170,1729,1442,2546,1250,120,1030,1770,Benzina,1970,150,4,,,Robot,Anteriore,208,"12,1",7,"8,9","9,3",60
Alfa Romeo,147,2004,Hatchback 5-porte,Berlina,5,4223,1729,1442,2546,1190,120,1030,1710,Benzina,1598,105,4,,,Manuale,Anteriore,185,"11,1","6,3","8,1","11,3",60
Alfa Romeo,147,2004,Hatchback 5-porte,Berlina,5,4170,1729,1442,2546,1200,120,,1720,Benzina,1598,120,4,,,Manuale,Anteriore,195,"11,2","6,4","8,3","10,6",60
Alfa Romeo,147,2004,Hatchback 5-porte,Berlina,5,4223,1729,1442,2546,1250,120,1030,1770,Benzina,1970,150,4,,,Manuale,Anteriore,208,"12,1",7,"8,9","9,3",60
Alfa Romeo,147,2004,Hatchback 5-porte,Berlina,5,4170,1729,1442,2546,1250,120,1030,1770,Benzina,1970,150,4,,,Robot,Anteriore,208,"12,1",7,"8,9","9,3",60
Alfa Romeo,155,1992,Berlina,Berlina,5,4443,1700,1440,2540,1300,140,525,1815,Benzina,1731,115,4,83,80,Manuale,Anteriore,191,,,"8,1","11,8",63
Alfa Romeo,155,1992,Berlina,Berlina,5,4443,1730,1425,2540,1204,140,525,1815,Benzina,1773,126,4,84,80,Manuale,Anteriore,200,,,"8,3","10,3",63
Alfa Romeo,155,1992,Berlina,Berlina,5,4450,1730,1440,2540,1300,140,525,1820,Diesel,1929,90,4,"82,6",90,Manuale,Anteriore,180,,,"7,1","13,5",63
Alfa Romeo,155,1992,Berlina,Berlina,5,4443,1700,1440,2540,1215,140,525,1790,Benzina,1995,143,4,84,90,Manuale,Anteriore,201,,,8,"9,3",63
Alfa Romeo,155,1992,Berlina,Berlina,5,4443,1700,1440,2540,1535,140,410,2010,Benzina,1995,187,4,84,90,Manuale,Trazione integrale (AWD),225,,,"9,8",7,63
Alfa Romeo,155,1992,Berlina,Berlina,5,4443,1700,1440,2540,1330,140,525,1850,Benzina,2492,165,6,88,"68,3",Manuale,Anteriore,215,,,"9,5","8,4",63
Alfa Romeo,155,1992,Berlina,Berlina,5,4443,1700,1440,2540,1340,140,525,1820,Diesel,2500,125,4,92,94,Manuale,Anteriore,195,,,"7,1","10,4",63
Alfa Romeo,155,1995,Berlina,Berlina,5,4443,1730,1440,2540,1325,140,525,1800,Benzina,1598,120,4,82,"75,6",Manuale,Anteriore,195,,,"7,8","11,4",63
Alfa Romeo,155,1995,Berlina,Berlina,5,4443,1700,1440,2540,1400,140,525,1815,Benzina,1731,115,4,83,80,Manuale,Anteriore,191,,,"8,1","11,8",63
Alfa Romeo,155,1995,Berlina,Berlina,5,4443,1730,1425,2540,1325,140,525,1800,Benzina,1747,140,4,82,"82,7",Manuale,Anteriore,205,,,"7,9",10,63
Alfa Romeo,155,1995,Berlina,Berlina,5,4443,1730,1440,2450,1415,140,525,1840,Benzina,1970,150,4,83,91,Manuale,Anteriore,224,,,"8,3","8,4",63
Alfa Romeo,155,1995,Berlina,Berlina,5,4443,1700,1440,2540,1535,140,410,2010,Benzina,1995,187,4,84,90,Manuale,Trazione integrale (AWD),225,,,"9,8",7,63
Alfa Romeo,155,1995,Berlina,Berlina,5,4443,1700,1440,2540,1492,140,525,1900,Benzina,2492,165,6,88,"68,3",Manuale,Anteriore,215,,,"9,3","8,4",63
Alfa Romeo,155,1995,Berlina,Berlina,5,4443,1700,1440,2540,1495,140,525,1900,Diesel,2500,125,4,92,94,Manuale,Anteriore,195,,,"7,1","10,4",63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1745,1415,2595,1230,140,380,1750,Benzina,1598,120,4,82,75,Manuale,Anteriore,200,"11,4","6,4",,"10,5",63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1745,1415,2595,1230,140,380,1750,Benzina,1747,144,4,82,82,Manuale,Anteriore,210,"11,4","6,4",,"9,2",63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1745,1415,2595,1270,140,380,1770,Diesel,1910,105,4,82,90,Manuale,Anteriore,188,"7,8","4,7",,"10,8",63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1745,1415,2595,1305,140,380,1770,Diesel,1910,110,4,82,90,Manuale,Anteriore,191,"7,4","4,8",,10,63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1755,1415,2595,1285,140,380,1770,Benzina,1970,165,4,83,91,Manuale,Anteriore,220,"12,2","6,5",,8,63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1745,1415,2595,1250,140,380,1770,Benzina,1970,155,4,83,91,Manuale,Anteriore,216,"11,7","6,6",,"8,6",63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1745,1415,2595,1350,140,380,1850,Diesel,2387,136,5,82,90,Manuale,Anteriore,203,"8,9","5,6",,"9,5",63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1755,1415,2595,1385,140,378,1850,Diesel,2387,140,5,82,90,Manuale,Anteriore,212,"8,9","5,4",,"9,4",63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1745,1415,2595,1350,140,380,1850,Benzina,2492,190,6,88,68,Automatico,Anteriore,227,"17,6","8,6",,"7,4",63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1745,1415,2595,1320,140,380,1820,Benzina,2492,190,6,88,68,Manuale,Anteriore,230,"16,6","8,5",,"7,4",63
Alfa Romeo,156,1997,Berlina,Berlina,5,4430,1745,1415,2595,1350,140,380,1850,Benzina,2492,192,6,88,68,Manuale,Anteriore,230,"16,5","8,4",,"7,6",63
Alfa Romeo,156,1997,station wagon,Station Wagon,5,4430,1745,1415,2595,1230,140,380,1750,Benzina,1598,120,4,82,75,Manuale,Anteriore,200,"11,4","6,4",,"10,5",63
Alfa Romeo,156,1997,station wagon,Station Wagon,5,4430,1745,1415,2595,1270,140,380,1770,Diesel,1910,105,4,82,90,Manuale,Anteriore,188,"7,8","4,7",,"10,8",63
Alfa Romeo,156,1997,station wagon,Station Wagon,5,4430,1745,1415,2595,1305,140,380,1770,Diesel,1910,110,4,82,90,Manuale,Anteriore,191,"7,4","4,8",,10,63
Alfa Romeo,156,1997,station wagon,Station Wagon,5,4430,1745,1415,2595,1250,140,380,1770,Benzina,1970,155,4,83,91,Manuale,Anteriore,216,"11,7","6,6",,"8,6",63
Alfa Romeo,156,1997,station wagon,Station Wagon,5,4430,1745,1420,2595,1350,140,380,1850,Diesel,2387,136,5,82,90,Manuale,Anteriore,203,"8,9","5,6",,"9,5",63
Alfa Romeo,156,1997,station wagon,Station Wagon,5,4430,1755,1415,2595,1385,140,378,1850,Diesel,2387,140,5,82,90,Manuale,Anteriore,212,"8,9","5,4",,"9,4",63
Alfa Romeo,156,1997,station wagon,Station Wagon,5,4430,1745,1420,2595,1350,140,380,1850,Benzina,2492,190,6,88,68,Automatico,Anteriore,227,"17,2","8,6",,"7,4",63
Alfa Romeo,156,1997,station wagon,Station Wagon,5,4430,1745,1415,2595,1320,140,380,1820,Benzina,2492,190,6,88,68,Manuale,Anteriore,230,"16,6","8,5",,"7,4",63
Alfa Romeo,156,1997,station wagon,Station Wagon,5,4430,1745,1420,2595,1460,140,1180,1920,Benzina,3179,250,6,93,78,Manuale,Anteriore,250,"18,4","8,8","12,1",6,63
Alfa Romeo,156,2002,Berlina 4-porte,Berlina,5,4435,1743,1430,2595,1265,140,378,1750,Benzina,1598,120,4,82,75,Manuale,Anteriore,200,11,6,8,10,63
Alfa Romeo,156,2002,Berlina 4-porte,Berlina,5,4435,1743,1430,2595,1265,140,378,1750,Benzina,1747,140,4,82,82,Manuale,Anteriore,208,"12,1","6,4","8,6","9,4",63
Alfa Romeo,156,2002,Berlina 4-porte,Berlina,5,4435,1743,1430,2595,1305,140,378,1770,Diesel,1910,115,4,82,90,Manuale,Anteriore,195,"7,9","4,9",6,"10,7",63
Alfa Romeo,156,2002,Berlina 4-porte,Berlina,5,4435,1743,1430,2595,1305,140,378,1770,Diesel,1910,140,4,82,90,Manuale,Anteriore,209,"8,2","4,8","6,1","9,7",63
Alfa Romeo,156,2002,Berlina 4-porte,Berlina,5,4435,1743,1430,2595,1285,140,378,1770,Benzina,1970,165,4,83,91,Manuale,Anteriore,220,"12,2","6,6","8,9","8,2",63
Alfa Romeo,156,2002,Berlina 4-porte,Berlina,5,4430,1755,1420,2595,1435,140,1180,1895,Diesel,2387,150,5,82,90,Manuale,Anteriore,212,"8,9","5,4","6,6","9,4",63
Alfa Romeo,156,2002,Berlina 4-porte,Berlina,5,4435,1743,1430,2595,1385,140,378,1850,Diesel,2387,175,5,82,90,Manuale,Anteriore,225,"8,8","5,3","6,7","8,3",63
Alfa Romeo,156,2002,Berlina 4-porte,Berlina,5,4435,1743,1430,2595,1405,140,378,1850,Benzina,2492,192,6,88,68,Automatico,Anteriore,227,"17,5","8,5","11,8","7,3",63
Alfa Romeo,156,2002,Berlina 4-porte,Berlina,5,4435,1745,1430,2595,1405,140,378,1820,Benzina,2492,192,6,88,68,Manuale,Anteriore,230,"17,5","8,5","11,8","7,3",63
Alfa Romeo,156,2002,Crosswagon station wagon 5-porte,Station Wagon,5,4441,1743,1458,2595,1510,140,1180,2025,Diesel,1910,150,4,82,90,Manuale,Trazione integrale (AWD),200,"9,3","5,8","7,1","10,5",50
Alfa Romeo,156,2002,GTA Berlina 4-porte,Berlina,5,4430,1745,1415,2595,1410,140,380,1875,Benzina,3179,250,6,93,78,Manuale,Anteriore,250,"18,1","8,6","12,1","6,3",63
Alfa Romeo,156,2002,Sport Wagon station wagon 5-porte,Station Wagon,5,4430,1745,1420,2595,1280,140,1180,1800,Benzina,1598,120,4,82,75,Manuale,Anteriore,200,"11,5","6,5","8,2",11,63
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1422,2700,1430,,405,1980,Benzina,1742,200,4,83,"80,5",Manuale,Anteriore,235,"11,8",6,"8,1","7,7",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1435,,405,1935,Benzina,1796,140,4,"80,5","88,2",Manuale,Anteriore,208,"10,3",6,"7,6","10,2",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1480,,405,2030,Diesel,1910,115,4,82,"90,4",Manuale,Anteriore,194,"6,6","4,4","5,2",11,70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1480,,405,2030,Diesel,1910,120,4,82,"90,4",Manuale,Anteriore,197,"6,6","4,4","5,2","10,7",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1480,,405,2030,Diesel,1910,120,4,82,"90,4",Manuale,Anteriore,193,"7,8","4,8","5,9","10,7",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1490,,405,2040,Diesel,1910,136,4,82,"90,4",Manuale,Anteriore,212,"7,5","4,6","5,7","9,2",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1490,,405,2040,Diesel,1910,150,4,82,"90,4",Manuale,Anteriore,212,"7,5","4,6","5,7","9,2",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1422,2700,1495,,405,2045,Diesel,1910,150,4,82,"90,4",Automatico,Anteriore,209,"9,5","5,2","6,8","9,5",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1480,,405,2000,Benzina,1859,160,4,86,80,Manuale,Anteriore,212,"12,2","6,6","8,7","9,7",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1490,,405,2040,Diesel,1956,163,4,83,"90,4",Manuale,Anteriore,215,"6,6","4,3","5,1",9,70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1490,,405,2040,Diesel,1956,170,4,83,"90,4",Manuale,Anteriore,218,"6,6","4,3","5,1","8,8",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1490,,405,2040,Diesel,1956,170,4,83,"90,4",Manuale,Anteriore,218,"7,1","4,4","5,4","8,8",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1445,,405,2040,Benzina,2198,185,4,86,"94,6",Manuale,Anteriore,222,13,"7,3","9,4","8,8",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1417,2700,1445,,405,2040,Benzina,2198,185,4,86,"94,6",Robot,Anteriore,224,"12,8","7,1","9,2","8,7",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1422,2700,1585,,405,2135,Diesel,2387,200,5,82,"90,4",Manuale,Anteriore,228,"9,2","5,4","6,8","8,4",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1422,2700,1585,,405,2135,Diesel,2387,210,5,82,"90,4",Manuale,Anteriore,231,"9,2","5,4","6,8","8,1",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1422,2700,1585,,405,2135,Diesel,2387,200,5,82,"90,4",Automatico,Anteriore,224,"11,4","5,8","7,9","8,4",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1422,2700,1645,,405,2195,Diesel,2387,210,5,82,"90,4",Manuale,Trazione integrale (AWD),227,"9,7","5,8","7,2","8,3",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1422,2700,1540,,405,2090,Benzina,3195,260,6,89,"85,6",Manuale,Anteriore,250,"16,4","7,9",11,"7,1",70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1422,2700,1610,,405,2160,Benzina,3195,260,6,89,"85,6",Automatico,Trazione integrale (AWD),240,"18,4","8,6","12,2",7,70
Alfa Romeo,159,2005,Berlina,Berlina,5,4660,1828,1422,2700,1610,,405,2160,Benzina,3195,260,6,89,"85,6",Manuale,Trazione integrale (AWD),244,"16,7","8,3","11,4",7,70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1422,2700,1480,,1235,2030,Benzina,1742,200,4,83,"80,5",Manuale,Anteriore,233,12,"6,2","8,3","7,9",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1435,,1235,1985,Benzina,1796,140,4,"80,5","88,2",Manuale,Anteriore,206,"10,7","6,1","7,8","10,4",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1530,,1235,2080,Diesel,1910,115,4,82,"90,4",Manuale,Anteriore,193,"6,6","4,5","5,3","10,9",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1530,,1235,2080,Diesel,1910,120,4,82,"90,4",Manuale,Anteriore,196,"6,7","4,5","5,3","10,9",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1530,,1235,2080,Diesel,1910,120,4,82,"90,4",Manuale,Anteriore,192,"7,9","4,9",6,"10,9",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1540,,1235,2090,Diesel,1910,136,4,82,"90,4",Manuale,Anteriore,210,"7,6","4,7","5,8","9,4",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1424,2700,1585,,445,,Diesel,1910,150,4,82,"90,4",Manuale,Anteriore,208,"8,3","4,8",6,"9,6",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1422,2700,1545,,1235,2090,Diesel,1910,150,4,82,"90,4",Automatico,Anteriore,207,"9,6","5,3","6,9","9,7",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1530,,1235,2090,Benzina,1859,160,4,86,80,Manuale,Anteriore,210,"12,4","6,7","8,8","9,9",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1540,,1235,2090,Diesel,1956,163,4,83,"90,4",Manuale,Anteriore,213,"6,7","4,4","5,2","9,2",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1540,,1235,2090,Diesel,1956,170,4,83,"90,4",Manuale,Anteriore,216,"6,7","4,4","5,2",9,70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1540,,1235,2090,Diesel,1956,170,4,83,"90,4",Manuale,Anteriore,216,"7,2","4,5","5,5",9,70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1495,,1235,2060,Benzina,2198,185,4,86,"94,6",Manuale,Anteriore,220,"13,2","7,3","9,5",9,70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1417,2700,1540,,1235,2060,Benzina,2198,185,4,86,"94,6",Robot,Anteriore,222,13,"7,2","9,3","8,9",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1422,2700,1635,,1235,2185,Diesel,2387,200,5,82,"90,4",Manuale,Anteriore,226,"9,4","5,6",7,"8,6",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1422,2700,1635,,1235,2185,Diesel,2387,210,5,82,"90,4",Manuale,Anteriore,229,"9,2","5,5","6,9","8,3",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1422,2700,1635,,1235,2185,Diesel,2387,200,5,82,"90,4",Automatico,Anteriore,222,"11,8",6,"8,1","8,6",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1422,2700,1695,,1235,2245,Diesel,2387,210,5,82,"90,4",Manuale,Trazione integrale (AWD),225,"9,9","5,9","7,4","8,5",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1422,2700,1590,,1235,2140,Benzina,3195,260,6,89,"85,6",Manuale,Anteriore,248,"16,5","7,9",11,"7,2",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1422,2700,1660,,1235,2210,Benzina,3195,260,6,89,"85,6",Automatico,Trazione integrale (AWD),237,"18,6","8,6","12,3","7,4",70
Alfa Romeo,159,2005,Sportwagon station wagon,Station Wagon,5,4660,1828,1422,2700,1660,,1235,2210,Benzina,3195,260,6,89,"85,6",Manuale,Trazione integrale (AWD),242,17,"8,3","11,5","7,2",70
Alfa Romeo,164,1987,Berlina,Berlina,5,4555,1760,1400,2760,1200,140,505,1625,Benzina,1962,143,4,84,88,Manuale,Anteriore,210,10,6,8,9,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4565,1760,1390,2660,1400,140,504,1950,Benzina,1995,144,4,84,90,Manuale,Anteriore,210,,,8,7,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4555,1760,1390,2660,1380,140,505,1805,Benzina,1995,146,4,84,90,Manuale,Anteriore,210,9,6,8,9,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4555,1760,1400,2660,1200,140,505,1625,Benzina,1962,148,4,84,88,Manuale,Anteriore,210,10,6,8,9,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4555,1760,1400,2660,1250,140,505,1675,Benzina,1995,175,4,84,90,Manuale,Anteriore,225,9,6,8,7,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4665,1760,1390,2660,1510,140,504,2050,Benzina,1996,201,6,80,66,Manuale,Anteriore,237,,,9,8,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4555,1760,1390,2665,1500,140,505,1925,Benzina,1996,205,6,80,72,Manuale,Anteriore,237,11,7,9,8,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4550,1760,1400,2660,1320,140,505,1745,Diesel,2500,117,4,92,94,Manuale,Anteriore,200,8,5,6,10,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4565,1760,1390,2660,1490,140,504,2050,Diesel,2499,125,4,92,94,Manuale,Anteriore,202,8,5,6,10,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4670,1760,1390,2660,1470,140,504,1875,Benzina,2959,192,6,83,91,Automatico,Anteriore,225,"12,9","6,8","8,9","8,8",70
Alfa Romeo,164,1987,Berlina,Berlina,5,4565,1760,1390,2660,1510,140,504,2060,Benzina,2959,180,6,93,72,Manuale,Anteriore,230,,,9,7,70
Alfa Romeo,164,1987,Berlina,Berlina,5,4670,1760,1390,2660,1470,140,504,1875,Benzina,2959,184,6,93,72,Manuale,Anteriore,230,12,6,8,8,70
